Rank,Name_fixed,gender,past_3_years_bike_related_purchases,Age,job_industry_category,wealth_segment,deceased_iNdicator_fixed,owns_car,tenure,address No.,Address_fixed,country,property_valuation,Value
32,Maisie Maddox,Female,27,46,Financial Services,Affluent Customer,NO,No,20,8,Dennis Point  ,Australia,9,1.45
36,Arleen Casbolt,Female,48,48,Financial Services,Affluent Customer,NO,Yes,13,41042,Lotheville Crossing  ,Australia,1,1.45
36,Farlie Petford,Male,76,55,n/a,High Net Worth,NO,No,13,2330,Butternut Trail  ,Australia,10,1.45
609,Dorian Emery,Female,94,25,Manufacturing,Mass Customer,NO,Yes,9,67,Beilfuss Plaza  ,Australia,8,0.76
620,Ewell Paulusch,Male,31,25,Manufacturing,Mass Customer,NO,Yes,8,8194,Lien Street  ,Australia,7,0.75
40,Antonin Britt,Male,64,30,Manufacturing,Affluent Customer,NO,Yes,8,11,Northland Trail  ,Australia,9,1.43
40,Vinny Incogna,Female,73,70,Health,High Net Worth,NO,No,10,8,Grayhawk Circle  ,Australia,8,1.43
744,Errick Burgin,Male,87,25,Entertainment,Mass Customer,NO,No,11,417,Killdeer Alley  ,Australia,2,0.66
851,Alick Baise,Male,62,25,Health,Mass Customer,NO,Yes,1,96,Gateway Road  ,Australia,8,0.56
44,Corinna Suggey,Female,52,57,n/a,Affluent Customer,NO,No,9,938,Ilene Road  ,Australia,8,1.42
44,Brooke Arling,Male,76,62,n/a,High Net Worth,NO,No,6,6,Melby Center  ,Australia,5,1.42
46,Jobina Gobourn,Female,85,29,n/a,High Net Worth,NO,Yes,14,18,Grim Road  ,Australia,4,1.41
956,Afton Andrassy,Female,78,25,Retail,Mass Customer,NO,No,7,220,Cody Alley  ,Australia,8,0.45
46,Gipsy Ewestace,Female,29,67,Retail,High Net Worth,NO,Yes,5,8708,Moulton Park  ,Australia,12,1.41
46,Sheena Kybbye,Female,14,67,Financial Services,Affluent Customer,NO,Yes,19,306,Clemons Junction  ,Australia,1,1.41
972,Ellwood Budden,Male,82,25,Health,Mass Customer,NO,Yes,11,79907,Randy Center  ,Australia,10,0.43
50,Heinrick Shilstone,Male,60,45,Manufacturing,Affluent Customer,NO,No,10,998,Gale Park  ,Australia,8,1.41
52,Taylor Steuhlmeyer,Male,62,24,Financial Services,Affluent Customer,NO,Yes,5,64,Mcguire Trail  ,Australia,8,1.39
52,Griswold Kelsall,Male,55,30,Health,High Net Worth,NO,Yes,11,74127,Blaine Point  ,Australia,7,1.39
114,Frederik Milan,Male,45,26,Health,Mass Customer,NO,No,5,56,Riverside Street  ,Australia,5,1.28
120,Alexander Broadbent,Male,57,26,n/a,Mass Customer,NO,No,9,265,Stephen Trail  ,Australia,10,1.26
212,Tabbie Curner,Male,12,26,Retail,Mass Customer,NO,No,6,89,Parkside Street  ,Australia,6,1.14
57,Lorrie Antonelli,Male,47,40,Financial Services,High Net Worth,NO,Yes,17,6936,Bobwhite Circle  ,Australia,7,1.38
215,Rosalinde Cubuzzi,Female,50,26,n/a,Mass Customer,NO,No,5,6,Lotheville Trail  ,Australia,7,1.13
233,Agace Hedge,Female,25,26,n/a,Mass Customer,NO,Yes,13,92,Petterle Place  ,Australia,8,1.10
329,Nil Shirer,Male,64,26,Entertainment,Mass Customer,NO,Yes,7,4793,Mcbride Pass  ,Australia,8,1.00
57,Normy Goodinge,U,5,,IT,Mass Customer,NO,No,4,7232,Fulton Parkway  ,Australia,5,1.38
361,Allsun Biner,Female,67,26,Financial Services,Mass Customer,NO,Yes,10,9,Walton Way  ,Australia,2,0.98
62,Loise Iltchev,Female,70,56,Manufacturing,High Net Worth,NO,Yes,17,45,Becker Place  ,Australia,6,1.37
62,Kaine Smallcombe,Male,59,81,Financial Services,High Net Worth,NO,No,11,9,Mosinee Parkway  ,Australia,10,1.37
65,Cristen Maroney,Female,22,24,IT,High Net Worth,NO,Yes,7,27,Karstens Crossing  ,Australia,7,1.36
65,Rosmunda Duxbarry,Female,69,27,Property,Affluent Customer,NO,Yes,5,989,Graedel Terrace  ,Australia,11,1.36
65,Dorothy Barnardo,Female,58,40,Retail,High Net Worth,NO,No,12,9630,Cottonwood Avenue  ,Australia,8,1.36
68,Gunner Petti,Male,62,24,Financial Services,High Net Worth,NO,Yes,3,29778,Mendota Drive  ,Australia,5,1.35
68,Sherilyn Canero,Female,11,27,Health,High Net Worth,NO,Yes,13,8288,Lyons Way  ,Australia,7,1.35
68,Vivienne Crayden,Female,82,35,n/a,High Net Worth,NO,Yes,6,69,Algoma Center  ,Australia,7,1.35
68,Rozamond Riha,Female,54,39,Manufacturing,Affluent Customer,NO,Yes,16,76,Bartelt Center  ,Australia,7,1.35
72,Kevina Ferandez,Female,73,24,Financial Services,High Net Worth,NO,No,15,9608,Heffernan Drive  ,Australia,9,1.35
536,Claude Bowstead,Female,37,26,Manufacturing,Mass Customer,NO,No,7,5263,Stone Corner Crossing ,Australia,12,0.83
72,Hasheem Groucock,Male,98,49,Manufacturing,High Net Worth,NO,Yes,10,12351,Spenser Pass  ,Australia,12,1.35
72,Yancy Clementet,Male,5,55,n/a,High Net Worth,NO,No,15,9,Union Center  ,Australia,9,1.35
72,Mabelle Wellbelove,Female,76,65,Financial Services,Affluent Customer,NO,Yes,19,800,Emmet Park  ,Australia,9,1.35
634,Kearney Cuddehy,Male,88,26,Retail,Mass Customer,NO,No,12,98,Shoshone Road  ,Australia,6,0.74
653,Leticia Hovenden,Female,98,26,Retail,Mass Customer,NO,Yes,1,54782,Lake View Parkway ,Australia,9,0.72
731,Killie Densie,Male,87,26,IT,Mass Customer,NO,Yes,11,62,Dryden Junction  ,Australia,10,0.66
78,Katheryn Kinner,Female,15,50,Entertainment,High Net Worth,NO,No,6,1665,Kenwood Center  ,Australia,6,1.34
988,Lolly Prewer,Female,44,26,Health,Mass Customer,NO,No,15,694,Coolidge Center  ,Australia,7,0.40
450,Anet Roseman,Female,84,27,Financial Services,Mass Customer,NO,No,9,31,Melody Circle  ,Australia,4,0.90
78,Glennis Flintoff,Female,36,67,Health,Affluent Customer,NO,Yes,13,1601,Rutledge Lane  ,Australia,7,1.34
84,Gardie Crellim,Male,58,48,Manufacturing,High Net Worth,NO,No,8,564,Forest Dale Avenue ,Australia,12,1.33
85,Marysa Rouchy,Female,8,24,Entertainment,Affluent Customer,NO,No,5,411,Twin Pines Way ,Australia,9,1.33
85,Sean O'Loughlin,Male,48,62,Manufacturing,High Net Worth,NO,Yes,16,83,Old Gate Point ,Australia,10,1.33
85,Pietra Buckleigh,Female,9,74,n/a,High Net Worth,NO,No,13,387,Dixon Alley  ,Australia,10,1.33
88,Kahaleel ,Male,5,81,n/a,High Net Worth,NO,No,13,12,Arapahoe Park  ,Australia,12,1.31
89,Ludovico Juster,Male,93,31,n/a,Affluent Customer,NO,No,15,1,Talisman Avenue  ,Australia,10,1.31
492,Claudette Renackowna,Female,55,27,Manufacturing,Mass Customer,NO,No,2,800,Dahle Alley  ,Australia,8,0.87
89,Sid Carlone,Male,24,52,Health,Affluent Customer,NO,No,16,76,Sunnyside Avenue  ,Australia,2,1.31
89,Levy Abramamov,Male,94,71,n/a,Affluent Customer,NO,Yes,14,6776,Anderson Center  ,Australia,8,1.31
676,Lizbeth Garvan,Female,36,27,Health,Mass Customer,NO,No,4,5,Schurz Street  ,Australia,9,0.70
780,Ashleigh ,Female,46,27,n/a,Mass Customer,NO,Yes,6,922,Utah Avenue  ,Australia,12,0.62
903,Nilson Wiggam,Male,48,27,Financial Services,Mass Customer,NO,No,9,8845,Spaight Way  ,Australia,6,0.50
96,Jehu Prestedge,Male,91,24,Manufacturing,High Net Worth,NO,Yes,8,88,Annamark Avenue  ,Australia,12,1.30
54,Lavena Seekings,Female,87,28,Retail,Mass Customer,NO,No,16,293,Mayfield Street  ,Australia,10,1.38
78,Sumner Carrivick,Male,53,28,Manufacturing,Mass Customer,NO,No,15,5,4th Center  ,Australia,12,1.34
99,Evangelin Boc,Female,30,23,Manufacturing,High Net Worth,NO,Yes,14,0,Meadow Ridge Street ,Australia,8,1.30
114,Meriel Tapp,Female,0,28,IT,Mass Customer,NO,No,5,65,Milwaukee Hill  ,Australia,2,1.28
99,Bengt Bilson,Male,26,51,Manufacturing,High Net Worth,NO,No,11,67,Grayhawk Circle  ,Australia,10,1.30
158,Amil Ennor,Female,23,28,Health,Mass Customer,NO,Yes,10,2093,Amoth Pass  ,Australia,11,1.19
409,Tanner Terlinden,Male,84,28,Manufacturing,Mass Customer,NO,No,14,2637,Monument Trail  ,Australia,11,0.93
104,Flossy Concannon,Female,64,43,Financial Services,Affluent Customer,NO,No,8,802,Mallory Park  ,Australia,2,1.29
104,Lyon Brittan,Male,14,51,Retail,High Net Worth,NO,No,19,540,Sachs Road  ,Australia,8,1.29
583,Flin Yoskowitz,Male,9,28,Health,Mass Customer,NO,Yes,11,9940,Manley Drive  ,Australia,7,0.79
820,Herbert Henryson,Male,21,28,n/a,Mass Customer,NO,No,4,5123,Bobwhite Plaza  ,Australia,9,0.58
845,Rosabelle Godsmark,Female,60,28,n/a,Mass Customer,NO,Yes,3,4871,Caliangt Hill  ,Australia,8,0.56
104,Cristen Wiltshire,Female,59,62,Financial Services,High Net Worth,NO,Yes,15,93,Judy Drive  ,Australia,6,1.29
956,Benedikta Naptin,Female,59,28,Retail,Mass Customer,NO,Yes,15,345,Fieldstone Park  ,Australia,11,0.45
72,Bessie Roscow,Female,78,29,Financial Services,Mass Customer,NO,No,9,4185,Florence Trail  ,Australia,10,1.35
111,David Napoleon,Male,72,62,n/a,High Net Worth,NO,No,14,69,Garrison Point  ,Australia,11,1.28
96,Karlik Penchen,Male,60,29,Retail,Mass Customer,NO,No,11,5,Nevada Point  ,Australia,6,1.30
102,Gina Mallon,Female,56,29,Health,Mass Customer,NO,No,12,13025,Johnson Plaza  ,Australia,2,1.29
563,Barth Sapshed,Male,4,29,Financial Services,Mass Customer,NO,Yes,13,65,Milwaukee Lane  ,Australia,10,0.81
575,Berenice Kaesmakers,Female,64,29,Retail,Mass Customer,NO,No,11,563,Waywood Park  ,Australia,9,0.80
114,Jerrine Cosbey,Female,21,45,Financial Services,High Net Worth,NO,Yes,6,29307,Russell Avenue  ,Australia,9,1.28
114,Rollo Louedey,Male,64,77,Telecommunications,Affluent Customer,NO,Yes,17,7,Cascade Park  ,Australia,9,1.28
114,Dolley Starmont,Female,53,46,Manufacturing,Affluent Customer,NO,No,18,4252,Dovetail Pass  ,Australia,6,1.28
575,Jesse Crosio,Male,75,29,n/a,Mass Customer,NO,Yes,13,9313,Mayer Street  ,Australia,8,0.80
120,Ashby Bispham,Male,71,42,Retail,Affluent Customer,NO,No,4,83716,Russell Lane  ,Australia,8,1.26
684,Keenan Moriarty,Male,67,29,Financial Services,Mass Customer,NO,Yes,2,77,Hansons Point  ,Australia,8,0.70
120,Teddy Lagadu,Female,86,54,n/a,High Net Worth,NO,No,6,2,Charing Cross Trail ,Australia,8,1.26
838,Briano Janowski,Male,66,29,n/a,Mass Customer,NO,No,7,3259,Eagan Parkway  ,Australia,8,0.57
845,Wilburt Padden,Male,22,29,Manufacturing,Mass Customer,NO,No,3,22,Muir Avenue  ,Australia,5,0.56
125,Ludvig Andren,Male,44,82,n/a,High Net Worth,NO,Yes,15,578,Waywood Circle  ,Australia,5,1.26
127,Bambi Cogger,Female,51,33,Retail,Affluent Customer,NO,Yes,5,28970,Monument Lane  ,Australia,7,1.25
883,Lesley Garey,Male,52,29,Telecommunications,Mass Customer,NO,No,11,924,Lindbergh Court  ,Australia,9,0.53
127,Aurie Rhead,Female,78,61,Manufacturing,Affluent Customer,NO,Yes,5,235,Mendota Court  ,Australia,2,1.25
127,Rebeca Aggas,Female,66,70,Health,Affluent Customer,NO,No,21,7026,Katie Lane  ,Australia,1,1.25
17,Marcelia Monkleigh,Female,61,30,Manufacturing,Mass Customer,NO,Yes,4,610,Swallow Street  ,Australia,6,1.55
21,Gaston Dallaghan,Male,44,30,Financial Services,Mass Customer,NO,Yes,8,656,Fuller Street  ,Australia,7,1.52
133,Malorie Votier,Female,90,33,Manufacturing,Affluent Customer,NO,No,4,6160,Weeping Birch Hill ,Australia,5,1.24
302,Daisy Pollen,Female,97,30,Financial Services,Mass Customer,NO,No,7,61825,Debs Terrace  ,Australia,9,1.03
725,Son Varney,Male,75,30,Property,Mass Customer,NO,Yes,10,189,Bayside Court  ,Australia,7,0.67
259,Bogey Attew,Male,88,31,IT,Mass Customer,NO,Yes,10,4,Monterey Road  ,Australia,9,1.06
133,Lacy Drance,Female,27,45,Manufacturing,Affluent Customer,NO,Yes,14,492,Waywood Lane  ,Australia,8,1.24
731,Mandi Adamsson,Female,40,31,Manufacturing,Mass Customer,NO,Yes,5,25,Westerfield Road  ,Australia,5,0.66
782,Calhoun Mussington,Male,98,31,Health,Mass Customer,NO,No,12,176,Fallview Plaza  ,Australia,9,0.62
133,My Chaston,Male,92,57,Manufacturing,Affluent Customer,NO,Yes,16,74613,Northport Park  ,Australia,9,1.24
788,Fayre Brannigan,Female,32,31,Manufacturing,Mass Customer,NO,Yes,9,31351,Sunbrook Place  ,Australia,10,0.61
142,Isak Bergstram,Male,14,22,Health,Affluent Customer,NO,Yes,15,68,Karstens Pass  ,Australia,9,1.24
830,Toma Woolforde,Female,67,31,Financial Services,Mass Customer,NO,Yes,5,76,Melody Avenue  ,Australia,12,0.58
944,Sim Constantinou,Male,91,31,Property,Mass Customer,NO,No,5,41002,Loomis Park  ,Australia,9,0.46
144,Welby Lourenco,Male,6,48,Financial Services,High Net Worth,NO,Yes,17,801,Atwood Alley  ,Australia,9,1.23
948,Edin Patinkin,Female,35,31,Health,Mass Customer,NO,No,17,6,Milwaukee Hill  ,Australia,4,0.46
979,Tyne Anshell,Female,71,31,n/a,Mass Customer,NO,Yes,3,93,Sutherland Terrace  ,Australia,8,0.42
146,Agnella Capener,Female,58,54,Health,High Net Worth,NO,No,19,49185,Derek Circle  ,Australia,6,1.23
146,Daisy Spowart,Female,60,56,Health,Affluent Customer,NO,Yes,4,115,Westridge Road  ,Australia,3,1.23
99,Hanny Treven,Female,84,32,Retail,Mass Customer,NO,No,3,5,Quincy Street  ,Australia,4,1.30
297,Ange Chitham,Female,91,32,Argiculture,Mass Customer,NO,No,10,3,Hoffman Pass  ,Australia,8,1.03
152,Denys Minshall,Female,30,62,Manufacturing,Affluent Customer,NO,Yes,14,7,Myrtle Lane  ,Australia,8,1.22
420,Sherill ,Female,33,32,Financial Services,Mass Customer,NO,No,3,53,Moulton Avenue  ,Australia,1,0.91
420,Donaugh Benedict,Male,3,32,Property,Mass Customer,NO,No,12,30049,Brown Road  ,Australia,9,0.91
568,Oswald MacCarlich,Male,81,32,Entertainment,Mass Customer,NO,No,14,16,Mosinee Place  ,Australia,1,0.80
691,Gardiner Gypps,Male,91,32,Retail,Mass Customer,NO,Yes,13,1,Elgar Alley  ,Australia,9,0.69
733,Yardley Matten,Male,35,32,Financial Services,Mass Customer,NO,No,15,74,Everett Court  ,Australia,2,0.66
13,Olag ,Male,60,33,Telecommunications,Mass Customer,NO,No,9,484,North Avenue  ,Australia,11,1.61
158,Nichole Leisman,Male,37,37,Property,Affluent Customer,NO,No,4,35151,Bunker Hill Crossing ,Australia,12,1.19
395,Hanson Eastes,Male,74,33,Manufacturing,Mass Customer,NO,Yes,5,5735,Starling Plaza  ,Australia,9,0.94
471,Ceciley Harg,Female,50,33,Retail,Mass Customer,NO,Yes,4,409,Starling Lane  ,Australia,7,0.89
158,Roberto Harme,Male,27,72,n/a,High Net Worth,NO,No,10,101,Starling Pass  ,Australia,9,1.19
733,Hamel Curzey,Male,11,33,n/a,Mass Customer,NO,Yes,9,6936,Homewood Avenue  ,Australia,7,0.66
163,Shawna Hinrichsen,Female,60,54,Manufacturing,Affluent Customer,NO,Yes,9,57343,Eagan Avenue  ,Australia,2,1.18
163,Fonsie Levane,Male,96,72,n/a,High Net Worth,NO,Yes,19,83,Armistice Terrace  ,Australia,3,1.18
865,Quentin Gerleit,Female,32,33,Manufacturing,Mass Customer,NO,No,4,88,Aberg Circle  ,Australia,8,0.55
166,Abner Fraschetti,Male,33,37,Argiculture,Affluent Customer,NO,No,13,67,Northport Avenue  ,Australia,7,1.18
921,Rubia Evetts,Female,59,33,Health,Mass Customer,NO,No,16,64213,Miller Point  ,Australia,9,0.49
166,Elvira Kurten,Female,65,50,Financial Services,High Net Worth,NO,No,12,65,Ridge Oak Court ,Australia,3,1.18
994,Datha Fishburn,Female,15,33,Retail,Mass Customer,NO,No,3,6,Caliangt Way  ,Australia,12,0.38
166,Alvira Coulman,Female,42,68,n/a,Affluent Customer,NO,No,14,823,Wayridge Trail  ,Australia,9,1.18
166,Regine Bownes,Female,99,71,Retail,Affluent Customer,NO,No,15,255,Loeprich Lane  ,Australia,9,1.18
166,Juliana Mitchenson,Female,55,34,Manufacturing,Mass Customer,NO,Yes,8,74,Russell Terrace  ,Australia,4,1.18
174,Paten Cayet,Male,56,28,Manufacturing,Affluent Customer,NO,Yes,16,1398,Burning Wood Way ,Australia,1,1.17
174,Tanya Kiefer,Female,54,31,Telecommunications,High Net Worth,NO,No,7,4,Warner Park  ,Australia,9,1.17
173,Feodor Vickers,Male,60,34,Financial Services,Mass Customer,NO,Yes,4,40809,Truax Way  ,Australia,6,1.17
418,Freddi Litherborough,Female,46,34,Financial Services,Mass Customer,NO,No,7,7873,Meadow Vale Plaza ,Australia,3,0.92
498,Sula Thomann,Female,56,34,n/a,Mass Customer,NO,No,6,7,Dayton Circle  ,Australia,9,0.86
774,Mel Rochford,Female,11,34,Retail,Mass Customer,NO,Yes,4,56334,Vera Crossing  ,Australia,9,0.63
177,Devonne Alderwick,Female,79,84,n/a,High Net Worth,NO,Yes,9,534,Lien Lane  ,Australia,7,1.16
181,Maury Galego,Male,65,31,Health,High Net Worth,NO,Yes,3,370,Division Junction  ,Australia,10,1.16
295,Biddie Gorce,Female,68,35,Financial Services,Mass Customer,NO,Yes,5,2116,Continental Terrace  ,Australia,7,1.03
297,Zollie Crinidge,Male,39,35,Retail,Mass Customer,NO,Yes,10,0,Esker Avenue  ,Australia,5,1.03
515,Emelia Ackwood,Female,72,35,Financial Services,Mass Customer,NO,Yes,10,1,South Street  ,Australia,9,0.84
181,Reggie Kernar,Female,26,52,Financial Services,High Net Worth,NO,No,17,90,Northport Hill  ,Australia,10,1.16
181,Conroy Rappaport,Male,39,58,Health,High Net Worth,NO,No,9,5219,Pearson Drive  ,Australia,9,1.16
181,Quillan Guinane,Male,36,77,n/a,High Net Worth,NO,Yes,21,803,Badeau Point  ,Australia,8,1.16
188,Kinna Kollasch,Female,7,37,Property,High Net Worth,NO,No,9,232,Knutson Park  ,Australia,10,1.16
651,Gordon Rewan,Male,42,35,n/a,Mass Customer,NO,No,5,91,Calypso Trail  ,Australia,8,0.72
190,Maurizio Comi,Male,74,27,IT,Affluent Customer,NO,No,10,25805,Eagan Place  ,Australia,9,1.16
191,Elbertina Fendley,Female,32,31,Property,Affluent Customer,NO,No,8,743,Debra Court  ,Australia,11,1.15
191,Allyson Petchell,Female,16,53,Telecommunications,High Net Worth,NO,No,10,98221,Pennsylvania Place  ,Australia,8,1.15
774,Sonni Milligan,Female,73,35,Retail,Mass Customer,NO,Yes,14,4769,Dahle Plaza  ,Australia,9,0.63
32,Sybilla MacCart,Female,88,36,Financial Services,Mass Customer,NO,Yes,7,74,Welch Pass  ,Australia,7,1.45
195,Leonid Dorricott,Male,44,30,n/a,Affluent Customer,NO,No,3,2,Hoffman Road  ,Australia,3,1.15
195,Collete Dory,Female,66,33,n/a,High Net Worth,NO,No,2,8625,Dakota Plaza  ,Australia,9,1.15
195,Mandie Jeffryes,Female,60,42,n/a,High Net Worth,NO,No,7,96515,Di Loreto Pass ,Australia,9,1.15
195,Vincent Jopke,Male,6,51,Property,Affluent Customer,NO,No,16,45788,Stang Plaza  ,Australia,3,1.15
195,Charlena Berney,Female,55,57,Manufacturing,High Net Worth,NO,Yes,12,496,Logan Center  ,Australia,4,1.15
114,Roddy Rubinshtein,Male,37,36,Retail,Mass Customer,NO,Yes,4,3,Mcguire Crossing  ,Australia,7,1.28
441,Theresina ,Female,30,36,Argiculture,Mass Customer,NO,Yes,14,253,Katie Junction  ,Australia,2,0.90
760,Petr Westman,Male,5,36,Property,Mass Customer,NO,No,7,98454,Dapin Park  ,Australia,7,0.64
930,Stephi Highton,Female,30,36,Telecommunications,Mass Customer,NO,Yes,12,293,Mendota Park  ,Australia,10,0.48
960,Benedikt Adamou,Male,15,36,Health,Mass Customer,NO,No,11,4,Bluestem Pass  ,Australia,3,0.44
202,Glyn ,Male,47,78,Manufacturing,Affluent Customer,NO,Yes,21,67,Bluejay Plaza  ,Australia,9,1.14
206,Benoit Harniman,Male,31,47,Telecommunications,Affluent Customer,NO,No,9,1582,Bashford Drive  ,Australia,7,1.14
985,Lauralee Fudge,Female,83,36,Health,Mass Customer,NO,No,15,9460,Monument Park  ,Australia,4,0.41
206,Tannie Gambrell,Male,92,56,Financial Services,Affluent Customer,NO,No,4,49,Surrey Point  ,Australia,4,1.14
206,Jenelle Fearnill,Female,12,65,Health,High Net Worth,NO,No,19,6,Old Gate Park ,Australia,9,1.14
530,Hilario McCulloch,Male,61,37,Retail,Mass Customer,NO,No,8,799,Luster Road  ,Australia,8,0.83
206,Corrine Baribal,Female,19,75,n/a,Affluent Customer,NO,Yes,12,3,Mallory Circle  ,Australia,8,1.14
568,Nicolas O'Donnell,Male,40,37,n/a,Mass Customer,NO,Yes,14,3319,Anthes Crossing  ,Australia,7,0.80
212,Abbie Oldman,Male,82,40,Health,High Net Worth,NO,Yes,5,4,North Drive  ,Australia,8,1.14
212,Shane Killen,Male,28,67,Entertainment,High Net Worth,NO,No,10,7,Hazelcrest Place  ,Australia,8,1.14
979,Daryle Marginson,Male,93,37,Argiculture,Mass Customer,NO,Yes,9,21316,Ohio Place  ,Australia,12,0.42
10,Barthel Docket,Male,72,38,IT,Mass Customer,NO,Yes,17,80,Scofield Junction  ,Australia,5,1.64
42,Colene Fishleigh,Female,24,38,Financial Services,Mass Customer,NO,No,3,44,Darwin Lane  ,Australia,10,1.42
218,Cami Barnbrook,Female,8,60,Health,Affluent Customer,NO,Yes,18,890,Truax Lane  ,Australia,2,1.13
219,Hunfredo Hayball,Male,7,29,IT,Affluent Customer,NO,No,3,60461,Esch Avenue  ,Australia,8,1.13
133,Nowell Preddy,Male,29,38,Manufacturing,Mass Customer,NO,No,9,932,Glendale Avenue  ,Australia,9,1.24
181,Eustacia Dornan,Female,68,38,Property,Mass Customer,NO,No,5,1190,Hanson Street  ,Australia,9,1.16
312,Cecelia Cisar,Female,20,38,Property,Mass Customer,NO,Yes,15,665,Sachs Way  ,Australia,7,1.02
223,Tobiah Heinsius,Male,66,23,Health,High Net Worth,NO,No,9,3630,Dawn Crossing  ,Australia,8,1.12
455,Tristam Larose,Male,70,38,Financial Services,Mass Customer,NO,No,17,9645,Moose Terrace  ,Australia,11,0.89
808,Davie Blay,Male,94,38,Financial Services,Mass Customer,NO,No,8,7021,5th Alley  ,Australia,7,0.60
708,Bertine Smalles,Female,85,40,Financial Services,Mass Customer,NO,Yes,9,7,Johnson Hill  ,Australia,8,0.68
226,Wyn Saynor,Male,54,59,Financial Services,High Net Worth,NO,No,8,5,Briar Crest Road ,Australia,9,1.11
